stk1,stk2,flag,a,b
796,300237,0,0,0
796,600674,0,0,0
796,2090,0,0,0
796,600883,0,0,0
796,2358,0,0,0
796,600358,0,0,0
796,2624,0,0,0
796,601390,0,0,0
796,600290,0,0,0
796,600282,0,0,0
796,300373,0,0,0
796,603116,0,0,0
796,600664,0,0,0
796,46,0,0,0
796,600029,0,0,0
796,19,0,0,0
796,731,0,0,0
796,2353,0,0,0
796,2237,0,0,0
796,300430,0,0,0
796,300562,0,0,0
796,2208,0,0,0
796,600754,0,0,0
796,789,0,0,0
796,600682,0,0,0
796,601991,0,0,0
796,981,0,0,0
796,600080,0,0,0
796,600009,0,0,0
796,600819,0,0,0
796,600528,0,0,0
796,300138,0,0,0
796,601179,0,0,0
796,603828,0,0,0
796,2661,0,0,0
796,601328,0,0,0
796,603018,0,0,0
796,966,0,0,0
796,2191,0,0,0
796,600004,0,0,0
796,600620,0,0,0
796,600276,0,0,0
796,600531,0,0,0
796,601098,0,0,0
796,601016,0,0,0
796,600000,0,0,0
796,2173,0,0,0
796,601601,0,0,0
796,600837,0,0,0
796,600313,0,0,0
796,600630,0,0,0
796,2716,0,0,0
796,524,0,0,0
796,423,0,0,0
796,600839,0,0,0
796,661,0,0,0
796,600256,0,0,0
796,2032,0,0,0
796,537,0,0,0
796,600362,0,0,0
796,600743,0,0,0
796,300232,0,0,0
796,600822,0,0,0
796,2668,0,0,0
796,601688,0,0,0
796,600469,0,0,0
796,631,0,0,0
796,2241,0,0,0
796,600641,0,0,0
796,2555,0,0,0
796,600327,0,0,0
796,600721,0,0,0
796,300215,0,0,0
796,601211,0,0,0
796,600338,0,0,0
796,600742,0,0,0
796,2314,0,0,0
796,2366,0,0,0
796,600312,0,0,0
796,600858,0,0,0
796,600616,0,0,0
796,637,0,0,0
796,600629,0,0,0
796,985,0,0,0
796,300383,0,0,0
796,2506,0,0,0
796,2493,0,0,0
796,825,0,0,0
796,600800,0,0,0
796,600269,0,0,0
796,601997,0,0,0
796,911,0,0,0
796,960,0,0,0
796,2534,0,0,0
796,600748,0,0,0
796,603368,0,0,0
796,300084,0,0,0
796,539,0,0,0
796,600545,0,0,0
796,600243,0,0,0
796,600961,0,0,0
796,2308,0,0,0
796,950,0,0,0
796,600108,0,0,0
796,600066,0,0,0
796,600657,0,0,0
796,600841,0,0,0
796,600321,0,0,0
796,600708,0,0,0
796,601857,0,0,0
796,6,0,0,0
796,951,0,0,0
796,600315,0,0,0
796,600107,0,0,0
796,600272,0,0,0
796,2100,0,0,0
796,2630,0,0,0
796,668,0,0,0
796,600048,0,0,0
796,600016,0,0,0
796,600763,0,0,0
796,300249,0,0,0
796,630,0,0,0
796,600785,0,0,0
796,2284,0,0,0
796,600527,0,0,0
796,965,0,0,0
796,300338,0,0,0
796,2233,0,0,0
796,2350,0,0,0
796,2076,0,0,0
796,300475,0,0,0
796,905,0,0,0
796,600291,0,0,0
796,2535,0,0,0
796,600085,0,0,0
796,300174,0,0,0
796,300003,0,0,0
796,856,0,0,0
796,2713,0,0,0
796,513,0,0,0
796,2508,0,0,0
796,300257,0,0,0
796,600886,0,0,0
796,600191,0,0,0
796,415,0,0,0
796,600420,0,0,0
796,967,0,0,0
796,601988,0,0,0
796,800,0,0,0
796,603589,0,0,0
796,600573,0,0,0
796,2470,0,0,0
796,600777,0,0,0
796,2569,0,0,0
796,603227,0,0,0
796,416,0,0,0
796,698,0,0,0
796,2567,0,0,0
796,600182,0,0,0
796,2759,0,0,0
796,2019,0,0,0
796,600987,0,0,0
796,752,0,0,0
796,509,0,0,0
796,600713,0,0,0
796,601000,0,0,0
796,600771,0,0,0
796,2618,0,0,0
796,2098,0,0,0
796,600051,0,0,0
796,707,0,0,0
796,600385,0,0,0
796,600137,0,0,0
796,863,0,0,0
796,566,0,0,0
796,603958,0,0,0
796,603899,0,0,0
796,600208,0,0,0
796,600578,0,0,0
796,56,0,0,0
796,603799,0,0,0
796,2126,0,0,0
796,600377,0,0,0
796,90,0,0,0
796,2622,0,0,0
796,601677,0,0,0
796,300332,0,0,0
796,600020,0,0,0
796,600436,0,0,0
796,300007,0,0,0
796,600116,0,0,0
796,1,0,0,0
796,2357,0,0,0
796,600252,0,0,0
796,600063,0,0,0
796,2611,0,0,0
796,783,0,0,0
796,600186,0,0,0
300237,600674,0,0,0
300237,2090,0,0,0
300237,600883,0,0,0
300237,2358,0,0,0
300237,600358,0,0,0
300237,2624,0,0,0
300237,601390,0,0,0
300237,600290,0,0,0
300237,600282,0,0,0
300237,300373,0,0,0
300237,603116,0,0,0
300237,600664,0,0,0
300237,46,0,0,0
300237,600029,0,0,0
300237,19,0,0,0
300237,731,0,0,0
300237,2353,0,0,0
300237,2237,0,0,0
300237,300430,0,0,0
300237,300562,0,0,0
300237,2208,0,0,0
300237,600754,0,0,0
300237,789,0,0,0
300237,600682,0,0,0
300237,601991,0,0,0
300237,981,0,0,0
300237,600080,0,0,0
300237,600009,0,0,0
300237,600819,0,0,0
300237,600528,0,0,0
300237,300138,0,0,0
300237,601179,0,0,0
300237,603828,0,0,0
300237,2661,0,0,0
300237,601328,0,0,0
300237,603018,0,0,0
300237,966,0,0,0
300237,2191,0,0,0
300237,600004,0,0,0
300237,600620,0,0,0
300237,600276,0,0,0
300237,600531,0,0,0
300237,601098,0,0,0
300237,601016,0,0,0
300237,600000,0,0,0
300237,2173,0,0,0
300237,601601,0,0,0
300237,600837,0,0,0
300237,600313,0,0,0
300237,600630,0,0,0
300237,2716,0,0,0
300237,524,0,0,0
300237,423,0,0,0
300237,600839,0,0,0
300237,661,0,0,0
300237,600256,0,0,0
300237,2032,0,0,0
300237,537,0,0,0
300237,600362,0,0,0
300237,600743,0,0,0
300237,300232,0,0,0
300237,600822,0,0,0
300237,2668,0,0,0
300237,601688,0,0,0
300237,600469,0,0,0
300237,631,0,0,0
300237,2241,0,0,0
300237,600641,0,0,0
300237,2555,0,0,0
300237,600327,0,0,0
300237,600721,0,0,0
300237,300215,0,0,0
300237,601211,0,0,0
300237,600338,0,0,0
300237,600742,0,0,0
300237,2314,0,0,0
300237,2366,0,0,0
300237,600312,0,0,0
300237,600858,0,0,0
300237,600616,0,0,0
300237,637,0,0,0
300237,600629,0,0,0
300237,985,0,0,0
300237,300383,0,0,0
300237,2506,0,0,0
300237,2493,0,0,0
300237,825,0,0,0
300237,600800,0,0,0
300237,600269,0,0,0
300237,601997,0,0,0
300237,911,0,0,0
300237,960,0,0,0
300237,2534,0,0,0
300237,600748,0,0,0
300237,603368,0,0,0
300237,300084,0,0,0
300237,539,0,0,0
300237,600545,0,0,0
300237,600243,0,0,0
300237,600961,0,0,0
300237,2308,0,0,0
300237,950,0,0,0
300237,600108,0,0,0
300237,600066,0,0,0
300237,600657,0,0,0
300237,600841,0,0,0
300237,600321,0,0,0
300237,600708,0,0,0
300237,601857,0,0,0
300237,6,0,0,0
300237,951,0,0,0
300237,600315,0,0,0
300237,600107,0,0,0
300237,600272,0,0,0
300237,2100,0,0,0
300237,2630,0,0,0
300237,668,0,0,0
300237,600048,0,0,0
300237,600016,0,0,0
300237,600763,0,0,0
300237,300249,0,0,0
300237,630,0,0,0
300237,600785,0,0,0
300237,2284,0,0,0
300237,600527,0,0,0
300237,965,0,0,0
300237,300338,0,0,0
300237,2233,0,0,0
300237,2350,0,0,0
300237,2076,0,0,0
300237,300475,0,0,0
300237,905,0,0,0
300237,600291,0,0,0
300237,2535,0,0,0
300237,600085,0,0,0
300237,300174,0,0,0
300237,300003,0,0,0
300237,856,0,0,0
300237,2713,0,0,0
300237,513,0,0,0
300237,2508,0,0,0
300237,300257,0,0,0
300237,600886,0,0,0
300237,600191,0,0,0
300237,415,0,0,0
300237,600420,0,0,0
300237,967,0,0,0
300237,601988,0,0,0
300237,800,0,0,0
300237,603589,0,0,0
300237,600573,0,0,0
300237,2470,0,0,0
300237,600777,0,0,0
300237,2569,0,0,0
300237,603227,0,0,0
300237,416,0,0,0
300237,698,0,0,0
300237,2567,0,0,0
300237,600182,0,0,0
300237,2759,0,0,0
300237,2019,0,0,0
300237,600987,0,0,0
300237,752,0,0,0
300237,509,0,0,0
300237,600713,0,0,0
300237,601000,0,0,0
300237,600771,0,0,0
300237,2618,0,0,0
300237,2098,0,0,0
300237,600051,0,0,0
300237,707,0,0,0
300237,600385,0,0,0
300237,600137,0,0,0
300237,863,0,0,0
300237,566,0,0,0
300237,603958,0,0,0
300237,603899,0,0,0
300237,600208,0,0,0
300237,600578,0,0,0
300237,56,0,0,0
300237,603799,0,0,0
300237,2126,0,0,0
300237,600377,0,0,0
300237,90,0,0,0
300237,2622,0,0,0
300237,601677,0,0,0
300237,300332,0,0,0
300237,600020,0,0,0
300237,600436,0,0,0
300237,300007,0,0,0
300237,600116,0,0,0
300237,1,0,0,0
300237,2357,0,0,0
300237,600252,0,0,0
300237,600063,0,0,0
300237,2611,0,0,0
300237,783,0,0,0
300237,600186,0,0,0
600674,2090,0,0,0
600674,600883,0,0,0
600674,2358,0,0,0
600674,600358,0,0,0
600674,2624,0,0,0
600674,601390,0,0,0
600674,600290,0,0,0
600674,600282,0,0,0
600674,300373,0,0,0
600674,603116,0,0,0
600674,600664,0,0,0
600674,46,0,0,0
600674,600029,0,0,0
600674,19,0,0,0
600674,731,0,0,0
600674,2353,0,0,0
600674,2237,0,0,0
600674,300430,0,0,0
600674,300562,0,0,0
600674,2208,0,0,0
600674,600754,0,0,0
600674,789,0,0,0
600674,600682,0,0,0
600674,601991,0,0,0
600674,981,0,0,0
600674,600080,0,0,0
600674,600009,0,0,0
600674,600819,0,0,0
600674,600528,0,0,0
600674,300138,0,0,0
600674,601179,0,0,0
600674,603828,0,0,0
600674,2661,0,0,0
600674,601328,0,0,0
600674,603018,0,0,0
600674,966,0,0,0
600674,2191,0,0,0
600674,600004,0,0,0
600674,600620,0,0,0
600674,600276,0,0,0
600674,600531,0,0,0
600674,601098,0,0,0
600674,601016,0,0,0
600674,600000,0,0,0
600674,2173,0,0,0
600674,601601,0,0,0
600674,600837,0,0,0
600674,600313,0,0,0
600674,600630,0,0,0
600674,2716,0,0,0
600674,524,0,0,0
600674,423,0,0,0
600674,600839,0,0,0
600674,661,0,0,0
600674,600256,0,0,0
600674,2032,0,0,0
600674,537,0,0,0
600674,600362,0,0,0
600674,600743,0,0,0
600674,300232,0,0,0
600674,600822,0,0,0
600674,2668,0,0,0
600674,601688,0,0,0
600674,600469,0,0,0
600674,631,0,0,0
600674,2241,0,0,0
600674,600641,0,0,0
600674,2555,0,0,0
600674,600327,0,0,0
600674,600721,0,0,0
600674,300215,0,0,0
600674,601211,0,0,0
600674,600338,0,0,0
600674,600742,0,0,0
600674,2314,0,0,0
600674,2366,0,0,0
600674,600312,0,0,0
600674,600858,0,0,0
