stk1,stk2,a,b
002455,002582,0,0
002455,002044,0,0
002455,002485,0,0
002455,600095,0,0
002455,600853,0,0
002455,002497,0,0
002455,000720,0,0
002455,600815,0,0
002455,601789,0,0
002455,300175,0,0
002455,000591,0,0
002455,002072,0,0
002455,600266,0,0
002455,600348,0,0
002455,600543,0,0
002455,603198,0,0
002455,002118,0,0
002455,000026,0,0
002455,600311,0,0
002455,600115,0,0
002455,000729,0,0
002455,002244,0,0
002455,002002,0,0
002455,600316,0,0
002455,000526,0,0
002455,002365,0,0
002455,002504,0,0
002455,601006,0,0
002455,002581,0,0
002455,002252,0,0
002455,600600,0,0
002455,600540,0,0
002455,002641,0,0
002455,600684,0,0
002455,600222,0,0
002455,002763,0,0
002455,000548,0,0
002455,002609,0,0
002455,002397,0,0
002455,000599,0,0
002455,300208,0,0
002455,600562,0,0
002455,600462,0,0
002455,002486,0,0
002455,600805,0,0
002455,600969,0,0
002455,600129,0,0
002455,000417,0,0
002455,300129,0,0
002455,002665,0,0
002455,002128,0,0
002455,600736,0,0
002455,603188,0,0
002455,000600,0,0
002455,002572,0,0
002455,600478,0,0
002455,000963,0,0
002455,002267,0,0
002455,000936,0,0
002455,600604,0,0
002455,600302,0,0
002455,601766,0,0
002455,600257,0,0
002455,600835,0,0
002455,300264,0,0
002455,603123,0,0
002455,600059,0,0
002455,002433,0,0
002455,600168,0,0
002455,002448,0,0
002455,600240,0,0
002455,600483,0,0
002455,603778,0,0
002455,000978,0,0
002455,000828,0,0
002455,300147,0,0
002455,600856,0,0
002455,600500,0,0
002455,600623,0,0
002455,600418,0,0
002455,000926,0,0
002455,002449,0,0
002455,600658,0,0
002455,600619,0,0
002455,002587,0,0
002455,603377,0,0
002455,600622,0,0
002455,002372,0,0
002455,600371,0,0
002455,002039,0,0
002455,002250,0,0
002455,600030,0,0
002455,600557,0,0
002455,600172,0,0
002455,600843,0,0
002455,603779,0,0
002455,600518,0,0
002455,000022,0,0
002455,002013,0,0
002455,600007,0,0
002455,002511,0,0
002455,002767,0,0
002455,002646,0,0
002455,600521,0,0
002455,600459,0,0
002455,600053,0,0
002455,600783,0,0
002455,002414,0,0
002455,600340,0,0
002455,600826,0,0
002455,002159,0,0
002455,300230,0,0
002455,000403,0,0
002455,000418,0,0
002455,603986,0,0
002455,603838,0,0
002455,603716,0,0
002455,603616,0,0
002455,603558,0,0
002455,603555,0,0
002455,603399,0,0
002455,603308,0,0
002455,603223,0,0
002455,603169,0,0
002455,603117,0,0
002455,603111,0,0
002455,603015,0,0
002455,603010,0,0
002455,601996,0,0
002455,601985,0,0
002455,601939,0,0
002455,601899,0,0
002455,601727,0,0
002455,601700,0,0
002455,601616,0,0
002455,601558,0,0
002455,601398,0,0
002455,601288,0,0
002455,601258,0,0
002455,601216,0,0
002455,601199,0,0
002455,601168,0,0
002455,601158,0,0
002455,601113,0,0
002455,601099,0,0
002455,601058,0,0
002455,601021,0,0
002455,601018,0,0
002455,601005,0,0
002582,002044,0,0
002582,002485,0,0
002582,600095,0,0
002582,600853,0,0
002582,002497,0,0
002582,000720,0,0
002582,600815,0,0
002582,601789,0,0
002582,300175,0,0
002582,000591,0,0
002582,002072,0,0
002582,600266,0,0
002582,600348,0,0
002582,600543,0,0
002582,603198,0,0
002582,002118,0,0
002582,000026,0,0
002582,600311,0,0
002582,600115,0,0
002582,000729,0,0
002582,002244,0,0
002582,002002,0,0
002582,600316,0,0
002582,000526,0,0
002582,002365,0,0
002582,002504,0,0
002582,601006,0,0
002582,002581,0,0
002582,002252,0,0
002582,600600,0,0
002582,600540,0,0
002582,002641,0,0
002582,600684,0,0
002582,600222,0,0
002582,002763,0,0
002582,000548,0,0
002582,002609,0,0
002582,002397,0,0
002582,000599,0,0
002582,300208,0,0
002582,600562,0,0
002582,600462,0,0
002582,002486,0,0
002582,600805,0,0
002582,600969,0,0
002582,600129,0,0
002582,000417,0,0
002582,300129,0,0
002582,002665,0,0
002582,002128,0,0
002582,600736,0,0
002582,603188,0,0
002582,000600,0,0
002582,002572,0,0
002582,600478,0,0
002582,000963,0,0
002582,002267,0,0
002582,000936,0,0
002582,600604,0,0
002582,600302,0,0
002582,601766,0,0
002582,600257,0,0
002582,600835,0,0
002582,300264,0,0
002582,603123,0,0
002582,600059,0,0
002582,002433,0,0
002582,600168,0,0
002582,002448,0,0
002582,600240,0,0
002582,600483,0,0
002582,603778,0,0
002582,000978,0,0
002582,000828,0,0
002582,300147,0,0
002582,600856,0,0
002582,600500,0,0
002582,600623,0,0
002582,600418,0,0
002582,000926,0,0
002582,002449,0,0
002582,600658,0,0
002582,600619,0,0
002582,002587,0,0
002582,603377,0,0
002582,600622,0,0
002582,002372,0,0
002582,600371,0,0
002582,002039,0,0
002582,002250,0,0
002582,600030,0,0
002582,600557,0,0
002582,600172,0,0
002582,600843,0,0
002582,603779,0,0
002582,600518,0,0
002582,000022,0,0
002582,002013,0,0
002582,600007,0,0
002582,002511,0,0
002582,002767,0,0
002582,002646,0,0
002582,600521,0,0
002582,600459,0,0
002582,600053,0,0
002582,600783,0,0
002582,002414,0,0
002582,600340,0,0
002582,600826,0,0
002582,002159,0,0
002582,300230,0,0
002582,000403,0,0
002582,000418,0,0
002582,603986,0,0
002582,603838,0,0
002582,603716,0,0
002582,603616,0,0
002582,603558,0,0
002582,603555,0,0
002582,603399,0,0
002582,603308,0,0
002582,603223,0,0
002582,603169,0,0
002582,603117,0,0
002582,603111,0,0
002582,603015,0,0
002582,603010,0,0
002582,601996,0,0
002582,601985,0,0
002582,601939,0,0
002582,601899,0,0
002582,601727,0,0
002582,601700,0,0
002582,601616,0,0
002582,601558,0,0
002582,601398,0,0
002582,601288,0,0
002582,601258,0,0
002582,601216,0,0
002582,601199,0,0
002582,601168,0,0
002582,601158,0,0
002582,601113,0,0
002582,601099,0,0
002582,601058,0,0
002582,601021,0,0
002582,601018,0,0
002582,601005,0,0
002044,002485,0,0
002044,600095,0,0
002044,600853,0,0
002044,002497,0,0
002044,000720,0,0
002044,600815,0,0
002044,601789,0,0
002044,300175,0,0
002044,000591,0,0
002044,002072,0,0
002044,600266,0,0
002044,600348,0,0
002044,600543,0,0
002044,603198,0,0
002044,002118,0,0
002044,000026,0,0
002044,600311,0,0
002044,600115,0,0
002044,000729,0,0
002044,002244,0,0
002044,002002,0,0
002044,600316,0,0
002044,000526,0,0
002044,002365,0,0
002044,002504,0,0
002044,601006,0,0
002044,002581,0,0
002044,002252,0,0
002044,600600,0,0
002044,600540,0,0
002044,002641,0,0
002044,600684,0,0
002044,600222,0,0
002044,002763,0,0
002044,000548,0,0
002044,002609,0,0
002044,002397,0,0
002044,000599,0,0
002044,300208,0,0
002044,600562,0,0
002044,600462,0,0
002044,002486,0,0
002044,600805,0,0
002044,600969,0,0
002044,600129,0,0
002044,000417,0,0
002044,300129,0,0
002044,002665,0,0
002044,002128,0,0
002044,600736,0,0
002044,603188,0,0
002044,000600,0,0
002044,002572,0,0
002044,600478,0,0
002044,000963,0,0
002044,002267,0,0
002044,000936,0,0
002044,600604,0,0
002044,600302,0,0
002044,601766,0,0
002044,600257,0,0
002044,600835,0,0
002044,300264,0,0
002044,603123,0,0
002044,600059,0,0
002044,002433,0,0
002044,600168,0,0
002044,002448,0,0
002044,600240,0,0
002044,600483,0,0
002044,603778,0,0
002044,000978,0,0
002044,000828,0,0
002044,300147,0,0
002044,600856,0,0
002044,600500,0,0
002044,600623,0,0
002044,600418,0,0
002044,000926,0,0
002044,002449,0,0
002044,600658,0,0
002044,600619,0,0
002044,002587,0,0
002044,603377,0,0
002044,600622,0,0
002044,002372,0,0
002044,600371,0,0
002044,002039,0,0
002044,002250,0,0
002044,600030,0,0
002044,600557,0,0
002044,600172,0,0
002044,600843,0,0
002044,603779,0,0
002044,600518,0,0
002044,000022,0,0
002044,002013,0,0
002044,600007,0,0
002044,002511,0,0
002044,002767,0,0
002044,002646,0,0
002044,600521,0,0
002044,600459,0,0
002044,600053,0,0
002044,600783,0,0
002044,002414,0,0
002044,600340,0,0
002044,600826,0,0
002044,002159,0,0
002044,300230,0,0
002044,000403,0,0
002044,000418,0,0
002044,603986,0,0
002044,603838,0,0
002044,603716,0,0
002044,603616,0,0
002044,603558,0,0
002044,603555,0,0
002044,603399,0,0
002044,603308,0,0
002044,603223,0,0
002044,603169,0,0
002044,603117,0,0
002044,603111,0,0
002044,603015,0,0
002044,603010,0,0
002044,601996,0,0
002044,601985,0,0
002044,601939,0,0
002044,601899,0,0
002044,601727,0,0
002044,601700,0,0
002044,601616,0,0
002044,601558,0,0
002044,601398,0,0
002044,601288,0,0
002044,601258,0,0
002044,601216,0,0
002044,601199,0,0
002044,601168,0,0
002044,601158,0,0
002044,601113,0,0
002044,601099,0,0
002044,601058,0,0
002044,601021,0,0
002044,601018,0,0
002044,601005,0,0
002485,600095,0,0
002485,600853,0,0
002485,002497,0,0
002485,000720,0,0
002485,600815,0,0
002485,601789,0,0
