stk1,stk2,a,b
000796,300237,0,0
000796,600674,0,0
000796,002090,0,0
000796,600883,0,0
000796,002358,0,0
000796,600358,0,0
000796,002624,0,0
000796,601390,0,0
000796,600290,0,0
000796,600282,0,0
000796,300373,0,0
000796,603116,0,0
000796,600664,0,0
000796,000046,0,0
000796,600029,0,0
000796,000019,0,0
000796,000731,0,0
000796,002353,0,0
000796,002237,0,0
000796,300430,0,0
000796,300562,0,0
000796,002208,0,0
000796,600754,0,0
000796,000789,0,0
000796,600682,0,0
000796,601991,0,0
000796,000981,0,0
000796,600080,0,0
000796,600009,0,0
000796,600819,0,0
000796,600528,0,0
000796,300138,0,0
000796,601179,0,0
000796,603828,0,0
000796,002661,0,0
000796,601328,0,0
000796,603018,0,0
000796,000966,0,0
000796,002191,0,0
000796,600004,0,0
000796,600620,0,0
000796,600276,0,0
000796,600531,0,0
000796,601098,0,0
000796,601016,0,0
000796,600000,0,0
000796,002173,0,0
000796,601601,0,0
000796,600837,0,0
000796,600313,0,0
000796,600630,0,0
000796,002716,0,0
000796,000524,0,0
000796,000423,0,0
000796,600839,0,0
000796,000661,0,0
000796,600256,0,0
000796,002032,0,0
000796,000537,0,0
000796,600362,0,0
000796,600743,0,0
000796,300232,0,0
000796,600822,0,0
000796,002668,0,0
000796,601688,0,0
000796,600469,0,0
000796,000631,0,0
000796,002241,0,0
000796,600641,0,0
000796,002555,0,0
000796,600327,0,0
000796,600721,0,0
000796,300215,0,0
000796,601211,0,0
000796,600338,0,0
000796,600742,0,0
000796,002314,0,0
000796,002366,0,0
000796,600312,0,0
000796,600858,0,0
000796,600616,0,0
000796,000637,0,0
000796,600629,0,0
000796,000985,0,0
000796,300383,0,0
000796,002506,0,0
000796,002493,0,0
000796,000825,0,0
000796,600800,0,0
000796,600269,0,0
000796,601997,0,0
000796,000911,0,0
000796,000960,0,0
000796,002534,0,0
000796,600748,0,0
000796,603368,0,0
000796,300084,0,0
000796,000539,0,0
000796,600545,0,0
000796,600243,0,0
000796,600961,0,0
000796,002308,0,0
000796,000950,0,0
000796,600108,0,0
000796,600066,0,0
000796,600657,0,0
000796,600841,0,0
000796,600321,0,0
000796,600708,0,0
000796,601857,0,0
000796,000006,0,0
000796,000951,0,0
000796,600315,0,0
000796,600107,0,0
000796,600272,0,0
000796,002100,0,0
000796,002630,0,0
000796,000668,0,0
000796,600048,0,0
000796,600016,0,0
000796,600763,0,0
000796,300249,0,0
000796,000630,0,0
000796,600785,0,0
000796,002284,0,0
000796,600527,0,0
000796,000965,0,0
000796,300338,0,0
000796,002233,0,0
000796,002350,0,0
000796,002076,0,0
000796,300475,0,0
000796,000905,0,0
000796,600291,0,0
000796,002535,0,0
000796,600085,0,0
000796,300174,0,0
000796,300003,0,0
000796,000856,0,0
000796,002713,0,0
000796,000513,0,0
000796,002508,0,0
000796,300257,0,0
000796,600886,0,0
000796,600191,0,0
000796,000415,0,0
000796,600420,0,0
000796,000967,0,0
000796,601988,0,0
000796,000800,0,0
000796,603589,0,0
000796,600573,0,0
000796,002470,0,0
000796,600777,0,0
000796,002569,0,0
000796,603227,0,0
000796,000416,0,0
000796,000698,0,0
000796,002567,0,0
000796,600182,0,0
000796,002759,0,0
000796,002019,0,0
000796,600987,0,0
000796,000752,0,0
000796,000509,0,0
000796,600713,0,0
000796,601000,0,0
000796,600771,0,0
000796,002618,0,0
000796,002098,0,0
000796,600051,0,0
000796,000707,0,0
000796,600385,0,0
000796,600137,0,0
000796,000863,0,0
000796,000566,0,0
000796,603958,0,0
000796,603899,0,0
000796,600208,0,0
000796,600578,0,0
000796,000056,0,0
000796,603799,0,0
000796,002126,0,0
000796,600377,0,0
000796,000090,0,0
000796,002622,0,0
000796,601677,0,0
000796,300332,0,0
000796,600020,0,0
000796,600436,0,0
000796,300007,0,0
000796,600116,0,0
000796,000001,0,0
000796,002357,0,0
000796,600252,0,0
000796,600063,0,0
000796,002611,0,0
000796,000783,0,0
000796,600186,0,0
300237,600674,0,0
300237,002090,0,0
300237,600883,0,0
300237,002358,0,0
300237,600358,0,0
300237,002624,0,0
300237,601390,0,0
300237,600290,0,0
300237,600282,0,0
300237,300373,0,0
300237,603116,0,0
300237,600664,0,0
300237,000046,0,0
300237,600029,0,0
300237,000019,0,0
300237,000731,0,0
300237,002353,0,0
300237,002237,0,0
300237,300430,0,0
300237,300562,0,0
300237,002208,0,0
300237,600754,0,0
300237,000789,0,0
300237,600682,0,0
300237,601991,0,0
300237,000981,0,0
300237,600080,0,0
300237,600009,0,0
300237,600819,0,0
300237,600528,0,0
300237,300138,0,0
300237,601179,0,0
300237,603828,0,0
300237,002661,0,0
300237,601328,0,0
300237,603018,0,0
300237,000966,0,0
300237,002191,0,0
300237,600004,0,0
300237,600620,0,0
300237,600276,0,0
300237,600531,0,0
300237,601098,0,0
300237,601016,0,0
300237,600000,0,0
300237,002173,0,0
300237,601601,0,0
300237,600837,0,0
300237,600313,0,0
300237,600630,0,0
300237,002716,0,0
300237,000524,0,0
300237,000423,0,0
300237,600839,0,0
300237,000661,0,0
300237,600256,0,0
300237,002032,0,0
300237,000537,0,0
300237,600362,0,0
300237,600743,0,0
300237,300232,0,0
300237,600822,0,0
300237,002668,0,0
300237,601688,0,0
300237,600469,0,0
300237,000631,0,0
300237,002241,0,0
300237,600641,0,0
300237,002555,0,0
300237,600327,0,0
300237,600721,0,0
300237,300215,0,0
300237,601211,0,0
300237,600338,0,0
300237,600742,0,0
300237,002314,0,0
300237,002366,0,0
300237,600312,0,0
300237,600858,0,0
300237,600616,0,0
300237,000637,0,0
300237,600629,0,0
300237,000985,0,0
300237,300383,0,0
300237,002506,0,0
300237,002493,0,0
300237,000825,0,0
300237,600800,0,0
300237,600269,0,0
300237,601997,0,0
300237,000911,0,0
300237,000960,0,0
300237,002534,0,0
300237,600748,0,0
300237,603368,0,0
300237,300084,0,0
300237,000539,0,0
300237,600545,0,0
300237,600243,0,0
300237,600961,0,0
300237,002308,0,0
300237,000950,0,0
300237,600108,0,0
300237,600066,0,0
300237,600657,0,0
300237,600841,0,0
300237,600321,0,0
300237,600708,0,0
300237,601857,0,0
300237,000006,0,0
300237,000951,0,0
300237,600315,0,0
300237,600107,0,0
300237,600272,0,0
300237,002100,0,0
300237,002630,0,0
300237,000668,0,0
300237,600048,0,0
300237,600016,0,0
300237,600763,0,0
300237,300249,0,0
300237,000630,0,0
300237,600785,0,0
300237,002284,0,0
300237,600527,0,0
300237,000965,0,0
300237,300338,0,0
300237,002233,0,0
300237,002350,0,0
300237,002076,0,0
300237,300475,0,0
300237,000905,0,0
300237,600291,0,0
300237,002535,0,0
300237,600085,0,0
300237,300174,0,0
300237,300003,0,0
300237,000856,0,0
300237,002713,0,0
300237,000513,0,0
300237,002508,0,0
300237,300257,0,0
300237,600886,0,0
300237,600191,0,0
300237,000415,0,0
300237,600420,0,0
300237,000967,0,0
300237,601988,0,0
300237,000800,0,0
300237,603589,0,0
300237,600573,0,0
300237,002470,0,0
300237,600777,0,0
300237,002569,0,0
300237,603227,0,0
300237,000416,0,0
300237,000698,0,0
300237,002567,0,0
300237,600182,0,0
300237,002759,0,0
300237,002019,0,0
300237,600987,0,0
300237,000752,0,0
300237,000509,0,0
300237,600713,0,0
300237,601000,0,0
300237,600771,0,0
300237,002618,0,0
300237,002098,0,0
300237,600051,0,0
300237,000707,0,0
300237,600385,0,0
300237,600137,0,0
300237,000863,0,0
300237,000566,0,0
300237,603958,0,0
300237,603899,0,0
300237,600208,0,0
300237,600578,0,0
300237,000056,0,0
300237,603799,0,0
300237,002126,0,0
300237,600377,0,0
300237,000090,0,0
300237,002622,0,0
300237,601677,0,0
300237,300332,0,0
300237,600020,0,0
300237,600436,0,0
300237,300007,0,0
300237,600116,0,0
300237,000001,0,0
300237,002357,0,0
300237,600252,0,0
300237,600063,0,0
300237,002611,0,0
300237,000783,0,0
300237,600186,0,0
600674,002090,0,0
600674,600883,0,0
600674,002358,0,0
600674,600358,0,0
600674,002624,0,0
600674,601390,0,0
600674,600290,0,0
600674,600282,0,0
600674,300373,0,0
600674,603116,0,0
600674,600664,0,0
600674,000046,0,0
600674,600029,0,0
600674,000019,0,0
600674,000731,0,0
600674,002353,0,0
600674,002237,0,0
600674,300430,0,0
600674,300562,0,0
600674,002208,0,0
600674,600754,0,0
600674,000789,0,0
600674,600682,0,0
600674,601991,0,0
600674,000981,0,0
600674,600080,0,0
600674,600009,0,0
600674,600819,0,0
600674,600528,0,0
600674,300138,0,0
600674,601179,0,0
600674,603828,0,0
600674,002661,0,0
