stk1,stk2,a,b
600508,000652,0,0
600508,600160,0,0
600508,600830,0,0
600508,600999,0,0
600508,300269,0,0
600508,000848,0,0
600508,300090,0,0
600508,300390,0,0
600508,002501,0,0
600508,000061,0,0
600508,601001,0,0
600508,000544,0,0
600792,600110,0,0
600792,600018,0,0
600792,000652,0,0
600792,600160,0,0
600792,600830,0,0
600792,600999,0,0
600792,300269,0,0
600792,000848,0,0
600792,300090,0,0
600792,300390,0,0
600792,002501,0,0
600792,000061,0,0
600792,601001,0,0
600792,000544,0,0
600110,600018,0,0
600110,000652,0,0
600110,600160,0,0
600110,600830,0,0
600110,600999,0,0
600110,300269,0,0
600110,000848,0,0
600110,300090,0,0
600110,300390,0,0
600110,002501,0,0
600110,000061,0,0
600110,601001,0,0
600110,000544,0,0
600018,000652,0,0
600018,600160,0,0
600018,600830,0,0
600018,600999,0,0
600018,300269,0,0
600018,000848,0,0
600018,300090,0,0
600018,300390,0,0
600018,002501,0,0
600018,000061,0,0
600018,601001,0,0
600018,000544,0,0
000652,600160,0,0
000652,600830,0,0
000652,600999,0,0
000652,300269,0,0
000652,000848,0,0
000652,300090,0,0
000652,300390,0,0
000652,002501,0,0
000652,000061,0,0
000652,601001,0,0
000652,000544,0,0
600160,600830,0,0
600160,600999,0,0
600160,300269,0,0
600160,000848,0,0
600160,300090,0,0
600160,300390,0,0
600160,002501,0,0
600160,000061,0,0
600160,601001,0,0
600160,000544,0,0
600830,600999,0,0
600830,300269,0,0
600830,000848,0,0
600830,300090,0,0
600830,300390,0,0
600830,002501,0,0
600830,000061,0,0
600830,601001,0,0
600830,000544,0,0
600999,300269,0,0
600999,000848,0,0
600999,300090,0,0
600999,300390,0,0
600999,002501,0,0
600999,000061,0,0
600999,601001,0,0
600999,000544,0,0
300269,000848,0,0
300269,300090,0,0
300269,300390,0,0
300269,002501,0,0
300269,000061,0,0
300269,601001,0,0
300269,000544,0,0
000848,300090,0,0
000848,300390,0,0
000848,002501,0,0
000848,000061,0,0
000848,601001,0,0
000848,000544,0,0
300090,300390,0,0
300090,002501,0,0
300090,000061,0,0
300090,601001,0,0
300090,000544,0,0
300390,002501,0,0
300390,000061,0,0
300390,601001,0,0
300390,000544,0,0
002501,000061,0,0
002501,601001,0,0
002501,000544,0,0
000061,601001,0,0
000061,000544,0,0
601001,000544,0,0
