code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300179,四方达,矿物制品,河南,193.38,3.25,4.78,84584.68,51948.98,17609.85,6452.71,0.13,0.03,1.53,5.04,20110215,17211.21,0.36,-22.19,-53.65,41.36,13.57,34907
300150,世纪瑞尔,软件服务,北京,0.0,3.27,5.4,158606.3,132169.02,2693.42,72866.55,1.35,-0.033,2.66,3.74,20101222,10714.71,0.2,-16.94,-143.18,37.47,-9.51,35820
300149,量子高科,食品,广东,114.01,4.21,4.22,77832.92,49332.56,13819.25,8020.37,0.19,0.128,1.8,10.8,20101222,22753.6,0.54,-26.02,-2.12,51.6,28.47,19457
300123,太阳鸟,船舶,湖南,353.79,2.74,3.02,208355.2,100266.9,55272.63,62924.66,2.09,0.032,3.57,4.23,20100928,13954.12,0.46,22.9,164.99,25.17,2.39,11760
300100,双林股份,汽车服务,浙江,41.71,2.71,3.98,492403.91,220126.22,117232.88,103469.38,2.6,0.611,5.88,5.78,20100806,83676.06,2.1,26.4,38.21,28.67,11.0,15842
300098,高新兴,通信设备,广东,63.67,5.46,10.75,453149.69,237744.34,7714.62,204138.05,1.9,0.187,3.38,4.69,20100728,49115.64,0.46,51.13,229.09,38.43,21.54,44048
300094,国联水产,渔业,广东,74.44,7.46,7.78,283870.09,224551.22,30585.48,57415.32,0.74,0.081,2.29,3.51,20100708,36037.96,0.46,30.48,1989.32,12.3,3.39,28243
300088,长信科技,元器件,安徽,59.16,10.99,11.49,604204.5,232237.97,167606.84,130620.75,1.14,0.2,3.16,4.99,20100526,106346.61,0.93,57.93,34.44,9.85,4.67,45620
300086,康芝药业,化学制药,海南,134.51,4.38,4.5,215559.72,148885.92,30300.75,111650.52,2.48,0.073,3.99,3.28,20100526,19062.85,0.42,37.8,5.88,39.58,9.83,29898
300080,易成新能,半导体,河南,980.35,5.02,5.03,596989.13,383445.91,121599.75,243110.0,4.84,0.007,6.41,1.41,20100625,25006.01,0.5,36.47,140.04,20.61,0.21,32544
300076,GQY视讯,电脑设备,浙江,0.0,3.68,4.24,114239.72,74432.68,23108.0,45615.06,1.08,-0.004,2.51,6.08,20100430,15354.92,0.36,2.59,-124.25,31.35,-1.27,41795
300068,南都电源,电气设备,浙江,48.09,5.81,7.84,907066.0,632979.31,159781.97,395936.44,5.05,0.37,7.29,2.76,20100421,88737.93,1.13,41.72,75.12,15.79,5.0,41558
300065,海兰信,软件服务,北京,138.73,1.8,2.42,166654.27,107846.02,7760.52,79036.96,3.27,0.208,5.12,7.52,20100326,17244.85,0.71,106.36,235.41,44.0,11.29,14349
300041,回天新材,化工原料,湖北,43.31,2.54,4.01,182531.38,97772.18,58813.07,63027.11,1.57,0.194,3.88,2.88,20100108,44175.84,1.1,12.61,32.6,33.92,9.41,17327
300030,阳普医疗,医疗保健,广东,135.42,2.53,3.09,144538.56,58695.98,29985.06,39441.05,1.28,0.07,3.03,4.16,20091225,20068.86,0.65,-2.64,-25.73,45.41,5.99,27801
300028,金亚科技,通信设备,四川,419.44,2.48,3.44,56705.48,17980.76,3807.33,27894.21,0.81,0.025,0.99,14.31,20091030,-28151.95,-0.82,-20.21,109.23,34.13,6.07,64808
300005,探路者,服饰,北京,74.12,3.49,5.94,361155.19,261541.5,22853.93,136255.16,2.29,0.2,4.61,3.62,20091030,66873.07,1.13,-12.43,-31.51,29.71,5.9,35941
002809,红墙股份,化工原料,广东,89.88,0.2,0.8,97798.21,87607.84,6940.77,43443.73,5.43,0.79,10.86,6.82,20160823,32910.19,4.11,0.0,0.0,33.85,16.11,23250
002806,华锋股份,元器件,广东,193.7,0.2,0.8,54206.17,32981.15,15137.62,8258.58,1.03,0.24,4.31,14.4,20160726,16503.92,2.06,0.0,0.0,18.67,7.34,18404
002795,永和智控,机械基件,浙江,138.02,0.25,1.0,65749.49,48719.31,7424.5,34269.75,3.43,0.56,5.9,15.52,20160428,12210.37,1.22,0.0,0.0,30.99,14.51,19355
002761,多喜爱,纺织,湖南,439.64,0.55,1.2,86428.07,50263.25,7860.81,24021.73,2.0,0.081,5.31,8.98,20150610,24735.97,2.06,12.45,-44.5,36.62,2.17,10858
002745,木林森,半导体,广东,46.04,0.78,5.28,1256778.5,760813.19,380035.19,310465.53,5.88,0.65,9.63,3.79,20150217,130806.9,2.48,27.63,26.18,24.57,8.52,18270
002740,爱迪尔,服饰,深圳,100.67,1.29,3.31,148637.44,139612.22,4445.31,22223.57,0.67,0.12,3.26,4.93,20150122,40932.28,1.24,33.35,-15.12,15.45,5.13,24656
002725,跃岭股份,汽车配件,浙江,73.04,0.53,1.6,100719.31,47407.1,30881.53,39317.05,2.46,0.232,5.63,4.0,20140129,30190.85,1.89,-9.59,-20.65,21.25,8.25,10523
002724,海洋王,半导体,深圳,388.13,0.67,4.0,172326.27,116253.88,43871.0,36891.46,0.92,0.05,3.85,6.71,20141104,68342.5,1.71,2.6,368.92,70.19,3.61,18138
002701,奥瑞金,广告包装,北京,14.28,18.0,23.55,1452122.5,564484.31,294389.97,6308.46,0.03,0.434,2.1,3.93,20121011,231227.2,0.98,9.5,16.18,36.14,18.19,50320
002696,百洋股份,渔业,广西,103.62,1.04,1.76,186813.48,88366.25,70871.6,46820.73,2.66,0.176,5.65,4.31,20120905,32682.71,1.86,15.27,6.72,11.34,2.09,15496
002694,顾地科技,塑料,湖北,618.18,3.04,3.46,220123.91,112973.52,70434.6,34785.64,1.01,0.043,2.76,12.76,20120816,19394.61,0.56,-22.11,-42.79,19.97,1.31,8369
002685,华东重机,工程机械,江苏,322.01,5.6,6.89,168855.56,141760.72,15328.85,42696.3,0.62,0.023,1.87,5.33,20120612,14867.12,0.22,44.78,39.16,6.12,1.07,59820
002683,宏大爆破,化工原料,广东,157.61,4.76,7.01,569354.69,327446.75,93257.18,159159.31,2.27,0.042,4.05,2.2,20120612,47696.28,0.68,6.03,-64.55,19.82,1.55,24423
002681,奋达科技,家用电器,深圳,50.26,5.98,12.47,390744.38,192909.94,43615.8,59587.16,0.48,0.193,2.22,5.82,20120605,87177.61,0.7,12.87,21.92,30.12,17.36,51216
002675,东诚药业,化学制药,山东,77.44,5.38,7.04,297912.19,149393.11,31990.8,89957.03,1.28,0.139,3.21,4.46,20120525,46587.26,0.66,39.48,42.08,41.86,12.58,30362
002670,国盛金控,多元金融,广东,93.49,1.29,9.36,2125011.75,1569546.13,34096.81,1002296.81,10.71,0.44,12.12,2.55,20120416,34311.87,0.37,-25.0,643.23,16.05,37.22,13472
002664,信质电机,汽车配件,浙江,42.88,3.21,4.0,236231.0,166815.02,45951.7,43894.53,1.1,0.444,4.11,6.18,20120316,72644.93,1.82,12.11,18.82,28.24,13.96,29738
002652,扬子新材,其他建材,江苏,70.46,2.6,3.2,213170.95,128423.3,38721.85,7249.47,0.23,0.193,2.1,8.63,20120119,25176.32,0.79,7.36,45.91,16.13,4.77,19910
002635,安洁科技,电脑设备,江苏,39.75,2.12,3.89,317206.88,185144.63,78521.3,125488.86,3.23,0.687,6.39,5.7,20111125,78236.71,2.01,9.71,45.69,36.22,19.82,32682
002629,仁智股份,石油开采,浙江,0.0,3.37,4.12,67433.8,47628.89,8515.4,8860.48,0.22,-0.099,1.47,8.89,20111103,7714.95,0.19,-27.08,43.96,13.02,-40.14,33390
002617,露笑科技,电气设备,浙江,166.62,5.6,7.35,278709.75,124298.63,44229.71,126226.32,1.72,0.066,3.07,4.77,20110920,23698.15,0.32,-36.0,-0.91,11.71,5.07,13920
002592,八菱科技,汽车配件,广西,65.57,1.29,2.83,249874.25,113545.63,24279.98,119789.11,4.23,0.32,7.18,3.9,20111111,44661.3,1.58,52.31,-8.27,17.18,14.46,13846
002591,恒大高新,化工原料,江西,0.0,1.67,2.61,92502.25,52465.08,20433.6,32301.21,1.24,-0.044,2.63,6.37,20110621,6582.55,0.25,-26.49,21.74,32.63,-11.99,11991
002584,西陇科学,化工原料,广东,84.52,2.59,5.85,230862.7,137418.42,44810.93,68319.11,1.17,0.19,2.89,5.5,20110602,40809.62,0.7,7.89,12.39,18.66,4.73,22801
002579,中京电子,元器件,广东,39.45,3.5,3.7,131584.77,51208.46,67503.96,14640.12,0.4,0.26,2.1,6.51,20110506,22020.48,0.6,38.94,469.49,16.0,17.63,29138
002578,闽发铝业,铝,福建,403.87,2.74,4.94,172524.61,84223.06,53217.65,71486.05,1.45,0.03,2.92,4.08,20110428,19865.47,0.4,-12.55,-45.18,9.44,1.48,29212
002574,明牌珠宝,服饰,浙江,80.25,5.28,5.28,484669.59,350451.19,12658.98,165094.23,3.13,0.097,5.83,1.79,20110422,79599.55,1.51,-38.28,-30.81,9.82,1.87,26684
002571,德力股份,玻璃,安徽,0.0,2.53,3.92,205612.42,86712.56,66514.86,90377.38,2.31,-0.111,3.77,4.07,20110412,14274.07,0.36,-0.62,-1237.25,15.94,-7.07,17222
002565,顺灏股份,造纸,上海,66.29,6.84,6.87,366981.66,162481.91,62065.05,75228.35,1.09,0.084,2.86,2.6,20110318,49005.65,0.71,-3.49,-32.07,29.61,5.07,31569
002526,山东矿机,工程机械,山东,0.0,3.95,5.34,270843.63,171850.38,52471.46,111202.65,2.08,-0.066,3.09,3.27,20101217,-4735.05,-0.09,-16.25,-1267.39,9.35,-5.81,48373
002509,天广中茂,专用机械,福建,56.82,8.39,15.58,600806.0,346219.0,55376.42,215712.66,1.38,0.167,2.78,4.57,20101123,54760.44,0.35,197.89,169.73,27.57,16.58,19317
002507,涪陵榨菜,食品,重庆,26.2,3.0,5.26,185070.81,90292.2,73615.56,28441.0,0.54,0.375,2.86,4.58,20101123,61770.55,1.17,25.33,38.36,47.4,21.24,17047
002492,恒基达鑫,仓储物流,广东,102.39,2.35,2.7,156448.2,51287.55,65572.86,55484.13,2.05,0.093,4.22,3.0,20101102,27695.76,1.03,52.33,13.2,48.82,15.77,13868
